Day,Date,Time,App,CPU(%),Memory(KB),Launch Frequency,Window Status,Session Duration (min)
Monday,11-11-2024,26:57.5,Figma,0.69,335612,1,Inactive,6
Monday,11-11-2024,27:37.6,IntelliJ IDEA,2.98,107540,1,Active,19
Monday,11-11-2024,28:04.9,Microsoft Teams,4.31,174299,3,Active,22
Monday,11-11-2024,29:42.5,Postman,2.74,698782,3,Inactive,20
Monday,11-11-2024,30:50.5,Notepad++,1.03,201639,3,Inactive,27
Monday,11-11-2024,31:27.4,Figma,4.33,156802,3,Active,8
Monday,11-11-2024,32:25.8,Spotify,4.02,214576,1,Active,17
Monday,11-11-2024,33:34.5,Edge,2.17,392075,2,Active,60
Monday,11-11-2024,34:59.1,Figma,4.06,677057,1,Active,46
Monday,11-11-2024,35:34.9,VSCode,4.85,347861,1,Inactive,36
Monday,11-11-2024,36:30.2,Discord,4.52,272634,2,Active,29
Monday,11-11-2024,37:17.0,Figma,1.5,682765,3,Inactive,14
Monday,11-11-2024,38:12.3,Postman,4.85,707314,3,Active,52
Monday,11-11-2024,39:20.1,Microsoft Teams,2.96,627276,3,Active,8
Monday,11-11-2024,40:32.1,GitHub Desktop,0.44,171262,3,Active,30
Monday,11-11-2024,41:08.0,IntelliJ IDEA,2.94,141672,3,Active,31
Monday,11-11-2024,42:42.6,Windows Terminal,1.65,373432,1,Inactive,20
Monday,11-11-2024,43:16.4,Edge,3.39,414569,2,Inactive,53
Monday,11-11-2024,44:59.1,VSCode,2.35,690341,1,Active,39
Monday,11-11-2024,45:13.5,Jira,0.75,465962,1,Active,28
Monday,11-11-2024,46:18.2,Figma,4.19,417212,3,Active,47
Monday,11-11-2024,47:52.6,Zoom,4.67,208618,1,Inactive,12
Monday,11-11-2024,48:56.1,Outlook,0.86,395442,3,Active,50
Monday,11-11-2024,49:21.2,Jira,2.58,363319,1,Active,45
Monday,11-11-2024,50:27.9,Jira,0.32,449759,1,Inactive,15
Monday,11-11-2024,51:47.5,Outlook,3.56,688153,1,Active,9
Monday,11-11-2024,52:56.7,Edge,2.77,487151,3,Active,32
Monday,11-11-2024,53:08.0,Zoom,1.89,141832,2,Active,48
Monday,11-11-2024,54:15.7,Chrome,1.83,687080,2,Active,20
Monday,11-11-2024,55:55.2,GitHub Desktop,4.42,125990,1,Inactive,55
Monday,11-11-2024,56:59.4,IntelliJ IDEA,1.41,213346,2,Active,59
Monday,11-11-2024,57:30.2,Postman,4.1,582662,2,Inactive,57
Monday,11-11-2024,58:50.9,IntelliJ IDEA,1.19,792094,1,Inactive,26
Monday,11-11-2024,59:17.9,Slack,4.84,392683,2,Inactive,48
Monday,11-11-2024,00:53.6,Spotify,4.7,220944,2,Active,42
Monday,11-11-2024,01:16.0,Chrome,3.02,462479,3,Inactive,32
Monday,11-11-2024,02:38.5,Chrome,1.99,704596,1,Inactive,7
Monday,11-11-2024,03:45.5,VSCode,2.65,664607,3,Active,28
Monday,11-11-2024,04:27.1,Spotify,3.15,795612,1,Inactive,37
Monday,11-11-2024,05:19.7,Notepad++,1.7,410016,3,Active,17
Monday,11-11-2024,06:26.7,Discord,3.42,282480,3,Inactive,30
Monday,11-11-2024,07:35.9,VSCode,1.59,320392,2,Inactive,34
Monday,11-11-2024,08:28.5,Postman,2.6,277934,3,Active,23
Monday,11-11-2024,09:32.7,Spotify,0.56,346277,3,Inactive,19
Monday,11-11-2024,10:51.2,Edge,0.22,356736,2,Active,34
Monday,11-11-2024,11:26.9,Postman,3.62,502630,2,Inactive,20
Monday,11-11-2024,12:09.7,VSCode,4.47,211764,2,Active,16
Monday,11-11-2024,13:51.7,Windows Terminal,2.38,684482,1,Active,34
Monday,11-11-2024,14:08.8,Figma,3.37,686075,3,Inactive,53
Monday,11-11-2024,15:57.5,Windows Terminal,2.19,674485,2,Active,52
Monday,11-11-2024,16:55.5,Figma,1.37,359249,3,Inactive,54
Monday,11-11-2024,17:49.5,Git,3.17,387936,2,Active,50
Monday,11-11-2024,18:18.2,Jira,1.75,666390,1,Active,14
Monday,11-11-2024,19:14.4,Edge,3.56,167348,2,Inactive,26
Monday,11-11-2024,20:34.5,Notepad++,0.41,540552,2,Active,59
Monday,11-11-2024,21:56.8,Discord,2.44,468845,2,Inactive,59
Monday,11-11-2024,22:58.0,Notepad++,2.74,672661,3,Active,36
Monday,11-11-2024,23:14.3,Notepad++,2.48,507746,2,Inactive,51
Monday,11-11-2024,24:10.9,Figma,4.61,752483,3,Active,30
Monday,11-11-2024,25:37.6,VSCode,0.51,549433,1,Inactive,16
Monday,11-11-2024,26:03.3,Discord,1.7,576786,2,Inactive,53
Monday,11-11-2024,27:56.4,Jira,3.78,542042,2,Active,35
Monday,11-11-2024,28:01.8,Outlook,0.36,466960,1,Active,54
Monday,11-11-2024,29:41.0,VSCode,4.75,309044,1,Active,20
Monday,11-11-2024,30:08.5,Chrome,2.86,328552,2,Inactive,54
Monday,11-11-2024,31:23.2,Chrome,3.91,271720,2,Active,42
Monday,11-11-2024,32:02.0,Zoom,2.92,493537,2,Active,9
Monday,11-11-2024,33:37.7,IntelliJ IDEA,0.6,416232,3,Active,55
Monday,11-11-2024,34:36.8,Microsoft Teams,1.8,549186,3,Inactive,9
Monday,11-11-2024,35:32.7,Spotify,0.16,540463,2,Active,32
Monday,11-11-2024,36:23.7,Figma,3.57,556641,1,Inactive,44
Monday,11-11-2024,37:52.0,Outlook,3.9,587455,2,Inactive,25
Monday,11-11-2024,38:54.3,Slack,1.47,572700,1,Inactive,41
Monday,11-11-2024,39:39.7,Discord,1.75,618317,2,Active,36
Monday,11-11-2024,40:13.4,Jira,1.77,725113,3,Inactive,40
Monday,11-11-2024,41:00.5,Postman,0.52,526170,2,Active,49
Monday,11-11-2024,42:30.7,Git,2.3,118080,1,Inactive,19
Monday,11-11-2024,43:25.7,IntelliJ IDEA,1.6,709805,2,Inactive,40
Monday,11-11-2024,44:33.4,Notepad++,4.98,677124,2,Inactive,49
Monday,11-11-2024,45:29.3,Zoom,1.33,226516,3,Active,25
Monday,11-11-2024,46:07.8,Outlook,4.76,294143,1,Active,52
Monday,11-11-2024,47:30.3,Windows Terminal,3.02,205409,1,Inactive,19
Monday,11-11-2024,48:23.2,Zoom,0.17,660081,1,Inactive,7
Monday,11-11-2024,49:03.6,Zoom,3.52,232413,3,Inactive,11
Monday,11-11-2024,50:55.0,Zoom,2.4,561865,2,Active,8
Monday,11-11-2024,51:17.0,Git,0.66,168517,2,Inactive,9
Monday,11-11-2024,52:36.7,Microsoft Teams,0.84,690180,2,Active,20
Monday,11-11-2024,53:07.6,Notepad++,3.07,748458,1,Inactive,33
Monday,11-11-2024,54:58.5,Zoom,4.31,549660,2,Active,44
Monday,11-11-2024,55:47.1,Postman,3.17,377501,3,Active,15
Monday,11-11-2024,56:15.2,Outlook,0.47,102805,2,Inactive,49
Monday,11-11-2024,57:38.5,Zoom,0.26,402099,3,Inactive,49
Monday,11-11-2024,58:55.5,Slack,3.47,377405,3,Active,32
Monday,11-11-2024,59:07.6,IntelliJ IDEA,3.27,378535,1,Active,8
Monday,11-11-2024,00:10.8,Zoom,3.02,696856,2,Inactive,12
Monday,11-11-2024,01:29.7,Zoom,3.53,385470,3,Inactive,33
Monday,11-11-2024,02:05.6,Microsoft Teams,4.46,437978,3,Inactive,6
Monday,11-11-2024,03:05.2,VSCode,5,382602,3,Active,53
Monday,11-11-2024,04:48.2,Git,2.64,563711,2,Active,42
Monday,11-11-2024,05:27.7,Git,4.85,592841,2,Inactive,26
Monday,11-11-2024,06:20.7,Chrome,4.3,445824,2,Inactive,23
Monday,11-11-2024,07:43.0,Discord,4.09,676818,1,Inactive,10
Monday,11-11-2024,08:20.3,Spotify,0.67,523808,3,Active,47
Monday,11-11-2024,09:55.6,Figma,2.12,296694,3,Inactive,44
Monday,11-11-2024,10:48.5,Figma,3.82,313446,2,Active,23
Monday,11-11-2024,11:28.9,Git,0.69,760626,3,Active,50
Monday,11-11-2024,12:10.3,Outlook,0.17,527809,1,Active,58
Monday,11-11-2024,13:58.1,Figma,4.74,779172,1,Inactive,50
Monday,11-11-2024,14:18.5,Jira,2.14,605937,2,Active,34
Monday,11-11-2024,15:35.2,Discord,1.03,728492,3,Active,60
Monday,11-11-2024,16:04.3,Notepad++,1.77,632401,2,Active,23
Monday,11-11-2024,17:46.3,Git,4.34,568238,3,Inactive,27
Monday,11-11-2024,18:21.6,Outlook,1.95,437408,1,Active,41
Monday,11-11-2024,19:24.2,Notepad++,0.31,595951,3,Inactive,29
Monday,11-11-2024,20:42.8,Edge,2.53,138817,1,Inactive,60
Monday,11-11-2024,21:06.9,Figma,0.59,579123,1,Active,31
Monday,11-11-2024,22:55.7,Edge,0.47,377896,2,Inactive,46
Monday,11-11-2024,23:05.9,Spotify,4.28,659543,2,Inactive,45
Monday,11-11-2024,24:45.9,Git,4.37,137642,3,Active,20
Monday,11-11-2024,25:40.7,Zoom,4.99,194769,2,Active,53
Monday,11-11-2024,26:40.7,Chrome,2.27,414012,1,Active,25
Monday,11-11-2024,27:50.1,Zoom,1.86,551607,1,Active,38
Monday,11-11-2024,28:26.6,GitHub Desktop,0.93,182804,3,Inactive,44
Monday,11-11-2024,29:43.3,Git,4.57,250069,1,Inactive,45
Monday,11-11-2024,30:16.5,Jira,3.37,587853,2,Active,9
Monday,11-11-2024,31:29.0,Netflix,4.94,413685,3,Inactive,49
Monday,11-11-2024,32:16.5,Zoom,1.08,503380,2,Active,20
Monday,11-11-2024,33:24.6,Netflix,2.92,409571,1,Inactive,22
Monday,11-11-2024,34:00.6,Microsoft Teams,4.56,620856,2,Active,43
Monday,11-11-2024,35:51.4,IntelliJ IDEA,3.22,751051,2,Active,45
Monday,11-11-2024,36:06.9,Microsoft Teams,1.61,562236,1,Inactive,51
Monday,11-11-2024,37:08.1,Zoom,1.7,535686,1,Active,13
Monday,11-11-2024,38:50.6,Netflix,2.7,385765,1,Inactive,57
Monday,11-11-2024,39:30.8,Zoom,3.76,455168,1,Inactive,9
Monday,11-11-2024,40:09.8,IntelliJ IDEA,4.31,516716,3,Inactive,10
Monday,11-11-2024,41:50.4,VSCode,1.4,229592,2,Inactive,48
Monday,11-11-2024,42:47.7,Jira,2.96,769567,2,Active,48
Monday,11-11-2024,43:14.5,VSCode,3.14,688678,2,Active,46
Monday,11-11-2024,44:04.7,Figma,4.56,416869,3,Inactive,12
Monday,11-11-2024,45:08.0,Microsoft Teams,1.59,616554,1,Active,20
Monday,11-11-2024,46:56.6,Edge,2,489033,3,Inactive,42
Monday,11-11-2024,47:47.8,Edge,4.44,786735,1,Inactive,44
Monday,11-11-2024,48:27.0,Jira,0.26,488528,1,Inactive,33
Monday,11-11-2024,49:15.9,Netflix,0.59,485178,3,Inactive,8
Monday,11-11-2024,50:25.3,Postman,4.84,576805,1,Active,46
Monday,11-11-2024,51:40.6,VSCode,0.35,449709,1,Active,55
Monday,11-11-2024,52:36.2,Slack,4.17,681128,1,Active,57
Monday,11-11-2024,53:55.2,Spotify,3.89,724932,1,Inactive,59
Monday,11-11-2024,54:09.1,Outlook,1.33,282973,1,Active,13
Monday,11-11-2024,55:00.4,IntelliJ IDEA,2.99,116547,1,Inactive,8
Monday,11-11-2024,56:08.8,Notepad++,2.68,166645,2,Inactive,54
Monday,11-11-2024,57:23.5,Chrome,2.31,332311,3,Active,51
Monday,11-11-2024,58:51.0,Windows Terminal,1.58,774591,1,Active,35
Monday,11-11-2024,59:54.4,Notepad++,3.46,614084,3,Inactive,9
Monday,11-11-2024,00:57.1,Spotify,3.08,168872,1,Inactive,44
Monday,11-11-2024,01:40.6,Outlook,3.59,499407,3,Inactive,34
Monday,11-11-2024,02:32.6,Notepad++,0.59,219971,3,Active,32
Monday,11-11-2024,03:28.9,IntelliJ IDEA,2.13,575528,2,Inactive,51
Monday,11-11-2024,04:06.3,Notepad++,1.63,367271,2,Active,48
Monday,11-11-2024,05:59.5,Slack,0.55,189511,1,Inactive,11
Monday,11-11-2024,06:47.8,Netflix,4.08,683397,1,Inactive,47
Monday,11-11-2024,07:07.4,Netflix,4.38,543481,3,Active,23
Monday,11-11-2024,08:38.3,Netflix,0.61,632060,1,Active,47
Monday,11-11-2024,09:30.2,Chrome,1.82,683286,2,Active,53
Monday,11-11-2024,10:17.6,IntelliJ IDEA,4.06,688215,3,Active,43
Monday,11-11-2024,11:59.7,Jira,0.24,386544,3,Inactive,26
Monday,11-11-2024,12:22.0,GitHub Desktop,4.36,693830,3,Inactive,9
Monday,11-11-2024,13:09.8,VSCode,0.55,656251,1,Inactive,31
Monday,11-11-2024,14:29.4,GitHub Desktop,1.91,440140,3,Active,8
Monday,11-11-2024,15:09.2,Microsoft Teams,3.4,385320,2,Inactive,36
Monday,11-11-2024,16:38.5,Notepad++,1.44,637234,1,Inactive,32
Monday,11-11-2024,17:07.3,Git,2.68,423401,1,Active,30
Monday,11-11-2024,18:38.1,VSCode,1.1,321494,1,Inactive,23
Monday,11-11-2024,19:20.1,VSCode,2.54,551574,1,Active,29
Monday,11-11-2024,20:34.7,IntelliJ IDEA,2.55,471371,1,Inactive,60
Monday,11-11-2024,21:47.0,Notepad++,0.19,181644,2,Inactive,41
Monday,11-11-2024,22:25.7,Notepad++,1.52,524707,1,Inactive,15
Monday,11-11-2024,23:52.0,Figma,4.18,479430,1,Inactive,59
Monday,11-11-2024,24:06.3,Notepad++,2.99,649414,1,Inactive,60
Monday,11-11-2024,25:19.8,Spotify,1.19,276299,1,Active,38
Monday,11-11-2024,26:32.2,Netflix,1.82,776796,1,Active,11
Monday,11-11-2024,27:09.3,Postman,0.95,260295,3,Active,16
Monday,11-11-2024,28:49.7,Git,2.37,691119,3,Inactive,48
Monday,11-11-2024,29:59.9,Spotify,4.33,757685,2,Active,33
Monday,11-11-2024,30:04.5,Figma,3.19,388016,3,Active,27
Monday,11-11-2024,31:32.1,Zoom,2.36,139434,1,Inactive,58
Monday,11-11-2024,32:18.1,Slack,3.11,631699,2,Inactive,42
Monday,11-11-2024,33:35.8,Microsoft Teams,2.3,699425,3,Active,25
Monday,11-11-2024,34:38.5,Windows Terminal,0.84,164879,2,Active,56
Monday,11-11-2024,35:57.9,Spotify,4.91,188425,3,Active,7
Monday,11-11-2024,36:15.7,Figma,4.96,649525,3,Active,28
Monday,11-11-2024,37:24.0,Zoom,2,454803,3,Active,55
Monday,11-11-2024,38:40.7,Spotify,0.42,199096,3,Inactive,23
Monday,11-11-2024,39:16.8,Edge,1.73,711046,3,Active,27
Monday,11-11-2024,40:19.7,Discord,0.73,188834,2,Inactive,46
Monday,11-11-2024,41:50.3,Edge,3.38,651963,1,Inactive,37
Monday,11-11-2024,42:23.0,Netflix,1.61,324597,2,Inactive,17
Monday,11-11-2024,43:14.1,Edge,0.48,206053,3,Active,47
Monday,11-11-2024,44:21.9,Edge,3.03,261745,1,Active,58
Monday,11-11-2024,45:44.8,GitHub Desktop,3.63,145814,2,Inactive,48
Monday,11-11-2024,46:46.2,Figma,3.09,570735,1,Active,24
Monday,11-11-2024,47:51.8,Git,4.53,303440,2,Inactive,34
Monday,11-11-2024,48:49.3,Discord,2.56,538997,1,Active,56
Monday,11-11-2024,49:38.1,Jira,0.36,603935,2,Active,50
Monday,11-11-2024,50:54.5,Chrome,1.5,268099,2,Inactive,37
Monday,11-11-2024,51:09.9,Notepad++,0.55,332823,2,Inactive,6
Monday,11-11-2024,52:26.1,Discord,2.56,347231,2,Active,28
Monday,11-11-2024,53:14.0,Spotify,4.66,781533,2,Active,13
Monday,11-11-2024,54:02.3,Git,3.51,245534,3,Inactive,33
Monday,11-11-2024,55:39.0,Slack,0.19,326130,1,Inactive,12
Monday,11-11-2024,56:49.3,IntelliJ IDEA,1.58,150068,1,Inactive,45
Monday,11-11-2024,57:50.7,Figma,0.41,624108,3,Active,45
Monday,11-11-2024,58:32.6,IntelliJ IDEA,3.62,405420,2,Active,44
Monday,11-11-2024,59:22.3,Notepad++,1.02,189772,3,Inactive,9
Monday,11-11-2024,00:33.6,Windows Terminal,3.95,632280,3,Active,29
Monday,11-11-2024,01:55.5,Microsoft Teams,3.21,491435,2,Active,27
Monday,11-11-2024,02:50.1,Netflix,1.28,789023,3,Active,54
Monday,11-11-2024,03:37.8,Spotify,0.75,469412,3,Inactive,57
Monday,11-11-2024,04:41.2,Figma,4.91,601776,3,Active,56
Monday,11-11-2024,05:08.1,Figma,0.28,311383,1,Active,7
Monday,11-11-2024,06:21.0,Zoom,2.63,669408,2,Inactive,7
Monday,11-11-2024,07:48.7,Postman,1.5,150126,3,Inactive,22
Monday,11-11-2024,08:07.8,Netflix,2.24,519453,3,Inactive,29
Monday,11-11-2024,09:21.2,Git,3.49,485191,3,Inactive,56
Monday,11-11-2024,10:05.8,Notepad++,0.49,731718,1,Inactive,25
Monday,11-11-2024,11:06.1,Spotify,3.34,421384,2,Inactive,15
Monday,11-11-2024,12:44.5,Netflix,2.29,469685,3,Inactive,22
Monday,11-11-2024,13:40.8,Microsoft Teams,0.47,768480,2,Inactive,37
Monday,11-11-2024,14:51.8,GitHub Desktop,4.77,249715,3,Inactive,7
Monday,11-11-2024,15:08.1,IntelliJ IDEA,3.91,484123,2,Inactive,41
Monday,11-11-2024,16:02.6,Edge,3.43,488984,2,Inactive,53
Monday,11-11-2024,17:04.6,Edge,2.69,517368,2,Inactive,20
Monday,11-11-2024,18:07.0,GitHub Desktop,2.55,505785,3,Active,21
Monday,11-11-2024,19:49.3,Figma,1.15,741599,2,Inactive,17
Monday,11-11-2024,20:07.1,Slack,2.32,566732,1,Inactive,47
Monday,11-11-2024,21:22.7,Slack,2.79,404466,2,Active,50
Monday,11-11-2024,22:46.0,GitHub Desktop,3.99,633469,1,Active,17
Monday,11-11-2024,23:50.1,IntelliJ IDEA,3.97,127560,2,Inactive,34
Monday,11-11-2024,24:51.6,Edge,3.1,190403,1,Inactive,30
Monday,11-11-2024,25:45.8,Git,2.68,529322,3,Active,13
Monday,11-11-2024,26:20.7,Slack,2.3,642491,2,Active,58
Monday,11-11-2024,27:49.6,GitHub Desktop,3.86,235300,2,Active,58
Monday,11-11-2024,28:07.5,Edge,1.59,269834,2,Active,27
Monday,11-11-2024,29:33.9,Zoom,4.25,362778,1,Inactive,13
Monday,11-11-2024,30:40.3,Outlook,0.56,772124,1,Active,15
Monday,11-11-2024,31:42.7,Spotify,4.23,690996,1,Active,10
Monday,11-11-2024,32:03.0,Jira,3.29,699929,2,Active,36
Monday,11-11-2024,33:56.7,Outlook,1.52,416768,2,Active,56
Monday,11-11-2024,34:51.7,Discord,1.56,176517,3,Active,15
Monday,11-11-2024,35:28.4,Git,2.38,456717,3,Active,25
Monday,11-11-2024,36:55.8,Spotify,3.7,462147,2,Active,53
Monday,11-11-2024,37:23.5,Outlook,0.62,353480,2,Active,22
Monday,11-11-2024,38:28.3,Edge,0.57,404309,2,Inactive,20
Monday,11-11-2024,39:55.9,GitHub Desktop,4.09,705748,3,Inactive,17
Monday,11-11-2024,40:48.2,Git,4.98,589491,2,Inactive,36
Monday,11-11-2024,41:01.1,Discord,2.58,352422,1,Inactive,8
Monday,11-11-2024,42:03.3,Git,3.03,786041,3,Inactive,23
Monday,11-11-2024,43:34.0,Chrome,2.21,377319,3,Inactive,53
Monday,11-11-2024,44:25.4,Microsoft Teams,2.06,697983,3,Active,28
Monday,11-11-2024,45:35.3,Slack,1.99,572230,3,Inactive,57
Monday,11-11-2024,46:39.7,Chrome,0.73,201377,2,Inactive,55
Monday,11-11-2024,47:21.6,Netflix,3.8,308727,3,Inactive,37
Monday,11-11-2024,48:02.0,Microsoft Teams,0.77,449218,2,Inactive,14
Monday,11-11-2024,49:38.9,Windows Terminal,0.78,742848,2,Active,30
Monday,11-11-2024,50:39.8,Zoom,3.01,631958,3,Inactive,50
Monday,11-11-2024,51:36.3,Git,4.1,486251,2,Active,31
Monday,11-11-2024,52:37.3,VSCode,3.02,378428,3,Active,51
Monday,11-11-2024,53:03.6,Git,0.94,759580,3,Inactive,14
Monday,11-11-2024,54:52.7,IntelliJ IDEA,0.25,215233,1,Active,33
Monday,11-11-2024,55:20.4,Edge,2.12,313795,2,Inactive,60
Monday,11-11-2024,56:54.8,Microsoft Teams,3.56,643878,1,Inactive,47
Monday,11-11-2024,57:30.6,Discord,1.64,281594,2,Inactive,39
Monday,11-11-2024,58:22.7,Jira,3.09,301603,1,Inactive,40
Monday,11-11-2024,59:19.2,Zoom,3.88,317346,3,Inactive,25
Monday,11-11-2024,00:30.4,Outlook,4.68,386741,2,Active,41
Monday,11-11-2024,01:43.6,Discord,4.49,513697,2,Active,23
Monday,11-11-2024,02:02.3,Slack,1.8,563864,3,Inactive,52
Monday,11-11-2024,03:30.2,Postman,4.16,384303,3,Inactive,13
Monday,11-11-2024,04:06.6,IntelliJ IDEA,1.29,656837,1,Active,8
Monday,11-11-2024,05:06.4,Spotify,3.62,205428,3,Active,5
Monday,11-11-2024,06:36.0,GitHub Desktop,2.09,598807,2,Active,53
Monday,11-11-2024,07:18.3,Zoom,3.26,193806,3,Active,39
Monday,11-11-2024,08:47.8,Microsoft Teams,4.57,283568,2,Active,7
Monday,11-11-2024,09:53.4,Git,1.01,403528,1,Active,24
Monday,11-11-2024,10:36.6,Chrome,4.65,451317,2,Inactive,46
Monday,11-11-2024,11:34.5,Git,4.46,240718,3,Inactive,22
Monday,11-11-2024,12:12.8,Chrome,1.72,581206,3,Inactive,50
Monday,11-11-2024,13:11.0,Spotify,3.97,695361,3,Active,16
Monday,11-11-2024,14:39.9,Discord,4.15,640310,2,Active,30
Monday,11-11-2024,15:42.1,GitHub Desktop,4.91,600646,2,Active,5
Monday,11-11-2024,16:16.4,IntelliJ IDEA,2.29,379963,2,Inactive,42
Monday,11-11-2024,17:46.6,VSCode,1.38,477017,3,Active,8
Monday,11-11-2024,18:42.1,Figma,1.6,525110,3,Inactive,49
Monday,11-11-2024,19:07.7,Zoom,1.9,331577,1,Active,35
Monday,11-11-2024,20:09.5,Netflix,2.14,675914,2,Active,53
Monday,11-11-2024,21:15.7,Slack,2.67,653829,3,Inactive,9
Monday,11-11-2024,22:58.6,Chrome,0.4,674251,3,Active,41
Monday,11-11-2024,23:34.2,GitHub Desktop,1.71,645617,2,Active,48
Monday,11-11-2024,24:13.8,Git,0.55,635167,2,Active,34
Monday,11-11-2024,25:08.5,Notepad++,2.34,160541,3,Inactive,48
Monday,11-11-2024,26:51.3,VSCode,2.04,103161,3,Active,42
Monday,11-11-2024,27:04.0,Notepad++,1.79,166857,3,Active,9
Monday,11-11-2024,28:59.5,Microsoft Teams,1.51,288724,1,Inactive,28
Monday,11-11-2024,29:57.4,Figma,4.36,495833,2,Active,48
Monday,11-11-2024,30:42.9,Outlook,0.75,464663,1,Active,39
Monday,11-11-2024,31:25.6,Edge,3.67,333507,1,Active,24
Monday,11-11-2024,32:29.7,Outlook,2.18,497700,1,Active,34
Monday,11-11-2024,33:22.2,Jira,1.02,218326,1,Inactive,44
Monday,11-11-2024,34:50.0,VSCode,1.28,170559,1,Active,33
Monday,11-11-2024,35:38.7,Microsoft Teams,1.3,146385,2,Inactive,19
Monday,11-11-2024,36:34.2,Microsoft Teams,0.79,403314,1,Inactive,41
Monday,11-11-2024,37:38.8,Spotify,1.26,250219,3,Active,31
Monday,11-11-2024,38:19.3,Microsoft Teams,2.83,720407,3,Active,45
Monday,11-11-2024,39:43.4,Outlook,2.53,461145,3,Inactive,55
Monday,11-11-2024,40:33.3,Notepad++,2.1,414455,2,Active,53
Monday,11-11-2024,41:34.5,IntelliJ IDEA,4.26,415344,3,Active,56
Monday,11-11-2024,42:30.0,Microsoft Teams,2.86,536740,3,Active,29
Monday,11-11-2024,43:15.3,Postman,1.72,182911,2,Inactive,10
Monday,11-11-2024,44:34.8,Postman,0.35,495489,3,Active,60
Monday,11-11-2024,45:04.2,Outlook,1.16,319036,2,Inactive,5
Monday,11-11-2024,46:14.0,Postman,4.81,223014,3,Inactive,20
Monday,11-11-2024,47:44.6,Postman,2.04,350956,3,Inactive,54
Monday,11-11-2024,48:18.4,Figma,2.71,476710,2,Inactive,28
Monday,11-11-2024,49:32.9,Git,2.38,592296,2,Active,28
Monday,11-11-2024,50:20.4,Microsoft Teams,2.86,332022,3,Active,6
Monday,11-11-2024,51:16.6,Notepad++,1.55,305721,2,Active,29
Monday,11-11-2024,52:36.9,IntelliJ IDEA,2.55,786406,3,Inactive,21
Monday,11-11-2024,53:48.9,Git,4.84,772865,3,Inactive,34
Monday,11-11-2024,54:10.8,Netflix,0.93,673095,2,Active,39
Monday,11-11-2024,55:41.1,Windows Terminal,0.27,177941,3,Active,53
Monday,11-11-2024,56:00.4,Edge,4.23,342675,1,Active,5
Monday,11-11-2024,57:13.5,Figma,1.93,747847,3,Inactive,47
Monday,11-11-2024,58:31.0,VSCode,2.71,531319,1,Active,38
Monday,11-11-2024,59:46.3,Outlook,4.89,117975,3,Inactive,56
Monday,11-11-2024,00:58.2,Chrome,4.6,649857,1,Active,17
Monday,11-11-2024,01:39.6,Jira,4.09,380310,2,Active,28
Monday,11-11-2024,02:25.5,IntelliJ IDEA,4.95,336828,2,Active,46
Monday,11-11-2024,03:54.7,Microsoft Teams,0.56,497687,2,Inactive,8
Monday,11-11-2024,04:40.0,GitHub Desktop,0.51,554987,3,Inactive,41
Monday,11-11-2024,05:54.1,Windows Terminal,4.6,340927,1,Inactive,22
Monday,11-11-2024,06:03.0,Slack,3.45,393992,3,Active,16
Monday,11-11-2024,07:59.9,Spotify,0.18,317221,3,Active,53
Monday,11-11-2024,08:52.7,Discord,4.65,413814,1,Active,41
Monday,11-11-2024,09:53.9,Discord,3.42,666820,2,Inactive,53
