Day,Date,Time,App,CPU(%),Memory(KB),Launch Frequency,Window Status,Session Duration (min)
Saturday,02-11-2024,21:31.09,Unity,2.69,204702,1,Inactive,10
Saturday,02-11-2024,07:49.34,Unity,1.25,669311,1,Inactive,19
Saturday,02-11-2024,09:54.15,OneNote,4.16,452585,2,Active,10
Saturday,02-11-2024,14:07.27,Visual Studio,2.32,179197,2,Active,35
Saturday,02-11-2024,15:28.10,Adobe Photoshop,1.09,432934,2,Active,55
Saturday,02-11-2024,20:28.03,Discord,1.04,628091,1,Active,35
Saturday,02-11-2024,13:53.59,YouTube,3.7,539926,2,Inactive,34
Saturday,02-11-2024,12:16.15,Blender,3.77,574945,2,Active,44
Saturday,02-11-2024,22:50.15,Postman,1.3,197060,3,Inactive,46
Saturday,02-11-2024,16:29.46,IntelliJ IDEA,4.96,257285,2,Inactive,36
Saturday,02-11-2024,19:55.42,OBS Studio,2.3,687480,1,Active,21
Saturday,02-11-2024,11:50.06,Adobe Photoshop,2.59,475239,2,Active,23
Saturday,02-11-2024,18:06.31,Xcode,2.21,174434,3,Inactive,47
Saturday,02-11-2024,17:40.26,Unity,3.67,449303,4,Inactive,53
Saturday,02-11-2024,17:26.31,Zoom,3.19,156881,1,Active,59
Saturday,02-11-2024,17:10.08,Blender,3.27,174729,2,Active,24
Saturday,02-11-2024,09:10.14,Jira,2.64,118279,2,Active,36
Saturday,02-11-2024,12:08.38,Google Drive,2.46,626628,1,Inactive,20
Saturday,02-11-2024,14:15.46,IntelliJ IDEA,1.62,689921,1,Active,57
Saturday,02-11-2024,12:59.20,Teams,0.68,654929,1,Active,42
Saturday,02-11-2024,10:41.03,Outlook,1.57,442497,4,Inactive,51
Saturday,02-11-2024,14:33.52,Netflix,3.45,161669,1,Active,44
Saturday,02-11-2024,16:48.17,MATLAB,1.15,462608,4,Active,46
Saturday,02-11-2024,14:17.59,Netflix,0.43,256891,1,Active,41
Saturday,02-11-2024,22:00.39,PowerPoint,4.03,537523,3,Active,19
Saturday,02-11-2024,19:03.38,Edge,1.85,227667,2,Inactive,41
Saturday,02-11-2024,10:35.19,Eclipse,1.09,613495,2,Inactive,56
Saturday,02-11-2024,16:08.45,Postman,0.52,660952,3,Inactive,20
Saturday,02-11-2024,21:30.58,Teams,3.61,567221,2,Active,44
Saturday,02-11-2024,13:24.40,Skype,2.15,174353,2,Inactive,12
Saturday,02-11-2024,21:55.41,Postman,0.58,238793,2,Inactive,48
Saturday,02-11-2024,21:06.15,Word,1.06,546601,2,Active,49
Saturday,02-11-2024,14:52.04,Adobe Illustrator,1.2,664464,1,Active,18
Saturday,02-11-2024,11:29.46,Chrome,1.96,340772,1,Active,56
Saturday,02-11-2024,20:32.03,OneNote,3.41,684031,2,Inactive,15
Saturday,02-11-2024,22:11.13,MATLAB,0.37,475126,1,Inactive,45
Saturday,02-11-2024,20:20.23,Adobe Illustrator,0.4,493661,1,Active,31
Saturday,02-11-2024,07:44.09,AutoCAD,4.27,375621,1,Active,33
Saturday,02-11-2024,21:12.34,VSCode,1.12,534595,2,Inactive,47
Saturday,02-11-2024,19:10.31,Notion,3.09,646500,1,Inactive,57
Saturday,02-11-2024,09:40.20,Netflix,3.18,120346,2,Active,28
Saturday,02-11-2024,15:28.47,WhatsApp,4.45,164729,2,Inactive,40
Saturday,02-11-2024,12:41.23,PowerPoint,1.28,360428,1,Active,11
Saturday,02-11-2024,19:24.02,Skype,4.79,417211,2,Inactive,35
Saturday,02-11-2024,17:20.37,Figma,4.38,353005,2,Inactive,46
Saturday,02-11-2024,17:07.50,IntelliJ IDEA,3.03,117441,2,Active,49
Sunday,03-11-2024,09:09.21,Figma,1.54,431235,2,Inactive,55
Sunday,03-11-2024,19:39.48,Teams,2.08,368421,2,Active,39
Sunday,03-11-2024,08:02.38,Opera,3.92,491174,1,Inactive,58
Sunday,03-11-2024,16:06.20,WhatsApp,3.21,480488,1,Active,22
Sunday,03-11-2024,07:03.59,Adobe Illustrator,2.45,272714,1,Active,51
Sunday,03-11-2024,23:24.42,MATLAB,4.34,428816,3,Inactive,27
Sunday,03-11-2024,15:27.56,Xcode,4.93,191877,4,Inactive,25
Sunday,03-11-2024,22:04.40,AutoCAD,1.3,224308,1,Active,10
Sunday,03-11-2024,08:45.15,MATLAB,1.66,545864,1,Inactive,33
Sunday,03-11-2024,09:47.04,Postman,2.67,212180,1,Active,59
Sunday,03-11-2024,11:01.29,Figma,1.04,413269,4,Active,53
Sunday,03-11-2024,20:44.05,WhatsApp,2.37,520205,2,Inactive,11
Sunday,03-11-2024,16:32.51,Firefox,3.58,142318,4,Active,35
Sunday,03-11-2024,21:24.16,Edge,1.47,152115,1,Active,44
Sunday,03-11-2024,11:15.21,Opera,1.54,403733,4,Active,33
Sunday,03-11-2024,17:40.11,OneNote,1.33,307431,2,Active,17
Sunday,03-11-2024,12:11.07,OBS Studio,4.03,394088,1,Active,31
Sunday,03-11-2024,22:20.26,Zoom,4.57,535509,4,Inactive,24
Sunday,03-11-2024,17:51.16,GitHub Desktop,4.54,520616,4,Active,56
Sunday,03-11-2024,22:27.29,Microsoft Store,2.65,566419,1,Inactive,44
Sunday,03-11-2024,18:45.26,Google Drive,3.25,112760,4,Inactive,45
Sunday,03-11-2024,15:14.26,Excel,2.86,419194,2,Active,44
Sunday,03-11-2024,20:25.38,Excel,4.14,559137,1,Inactive,17
Sunday,03-11-2024,20:16.59,Telegram,4.79,224241,2,Active,21
Sunday,03-11-2024,19:46.21,Google Drive,0.34,303513,2,Inactive,46
Sunday,03-11-2024,07:40.59,Spotify,2.97,662086,1,Active,51
Sunday,03-11-2024,10:11.04,Microsoft Store,4.16,446420,1,Inactive,46
Sunday,03-11-2024,07:22.03,Edge,1.5,658778,1,Inactive,43
Sunday,03-11-2024,16:07.43,Adobe Illustrator,4.65,361648,2,Active,55
Sunday,03-11-2024,21:50.27,Edge,2.94,545265,1,Inactive,43
Sunday,03-11-2024,19:50.42,Discord,2.84,127139,2,Inactive,46
Sunday,03-11-2024,12:30.46,AutoCAD,2.85,510556,1,Active,26
Sunday,03-11-2024,20:58.04,Postman,4.16,281114,1,Active,34
Sunday,03-11-2024,12:41.26,Skype,2.22,384085,1,Active,20
Sunday,03-11-2024,22:22.42,Netflix,2.33,588142,3,Active,20
Sunday,03-11-2024,19:39.47,Teams,3.58,155519,1,Inactive,41
Sunday,03-11-2024,10:03.33,Adobe Illustrator,1.87,338291,4,Active,33
Sunday,03-11-2024,11:33.41,VSCode,2.53,446388,4,Inactive,40
Sunday,03-11-2024,12:05.17,Word,1.3,368238,1,Active,11
Sunday,03-11-2024,14:19.49,Discord,2.31,599320,2,Active,32
Sunday,03-11-2024,13:50.53,Eclipse,2.8,434780,2,Active,44
Sunday,03-11-2024,14:10.23,Microsoft Store,2.98,210174,2,Inactive,15
Sunday,03-11-2024,00:56.28,Jira,1.99,570176,3,Active,35
Sunday,03-11-2024,07:19.34,Chrome,2.44,119041,2,Active,16
Sunday,03-11-2024,13:16.27,Excel,3.5,690618,2,Inactive,26
Sunday,03-11-2024,17:19.04,Discord,4.33,188951,4,Inactive,17
Sunday,03-11-2024,11:13.04,Blender,2.18,120334,2,Active,31
Sunday,03-11-2024,22:48.21,Notion,0.7,473053,4,Inactive,33
Sunday,03-11-2024,07:31.02,Xcode,4.33,339923,1,Inactive,29
Sunday,03-11-2024,15:34.36,MATLAB,1.12,511941,1,Inactive,27
Sunday,03-11-2024,19:20.01,Trello,4.82,583081,2,Active,26
Sunday,03-11-2024,18:03.21,Visual Studio,0.67,364427,4,Active,47
Sunday,03-11-2024,23:34.41,Blender,3.33,360431,4,Inactive,13
Sunday,03-11-2024,18:05.42,Steam,0.86,323153,2,Inactive,26
Sunday,03-11-2024,17:33.35,Adobe Photoshop,4.83,334740,2,Inactive,37
Sunday,03-11-2024,20:20.19,Android Studio,1.41,192641,2,Active,29
Sunday,03-11-2024,10:19.34,PowerPoint,3.04,322237,2,Active,53
Sunday,03-11-2024,00:17.32,Excel,3.38,632095,1,Inactive,27
Sunday,03-11-2024,23:20.30,Eclipse,4.33,552926,4,Active,40
Sunday,03-11-2024,17:13.42,Microsoft Store,3.58,331004,1,Inactive,27
Sunday,03-11-2024,19:04.40,Visual Studio,0.79,518555,1,Active,12
Sunday,03-11-2024,08:19.05,YouTube,3.45,524310,1,Active,38
Sunday,03-11-2024,19:08.36,AutoCAD,2.61,512594,1,Inactive,52
Sunday,03-11-2024,15:13.42,Outlook,1.02,295191,1,Active,18
Sunday,03-11-2024,14:55.14,Edge,3.06,297432,1,Inactive,35
Sunday,03-11-2024,13:57.43,Steam,1.86,405895,1,Active,45
Sunday,03-11-2024,20:31.05,Adobe Illustrator,1.22,687205,1,Inactive,15
Sunday,03-11-2024,00:14.45,Xcode,1.09,510668,1,Inactive,47
Sunday,03-11-2024,23:33.00,Adobe Illustrator,2.13,464434,4,Active,60
Monday,04-11-2024,19:51.31,Word,4.55,642329,2,Active,20
Monday,04-11-2024,00:11.42,Microsoft Store,1.38,684011,2,Inactive,54
Monday,04-11-2024,16:36.33,Steam,0.76,560977,1,Active,14
Monday,04-11-2024,12:23.29,MATLAB,4.05,145603,1,Active,39
Monday,04-11-2024,19:54.04,Chrome,3.23,599344,2,Inactive,19
Monday,04-11-2024,11:24.18,YouTube,1.31,160620,3,Active,40
Monday,04-11-2024,14:18.35,Unity,1.79,185654,1,Inactive,46
Monday,04-11-2024,20:06.42,Slack,2.9,662610,1,Inactive,55
Monday,04-11-2024,07:29.50,Firefox,1.48,188972,2,Active,53
Monday,04-11-2024,20:22.47,MATLAB,1.71,559382,1,Inactive,33
Monday,04-11-2024,12:21.54,Firefox,3.93,610309,2,Inactive,51
Monday,04-11-2024,23:18.47,Adobe Illustrator,4.45,598989,2,Inactive,37
Monday,04-11-2024,20:14.47,Word,1.26,577538,1,Inactive,22
Monday,04-11-2024,12:22.33,OBS Studio,0.93,201925,2,Active,36
Monday,04-11-2024,16:37.45,Adobe Photoshop,4.93,118237,2,Inactive,44
Monday,04-11-2024,12:13.34,Telegram,2.03,643007,2,Inactive,39
Monday,04-11-2024,07:50.58,Unity,2.21,399022,1,Active,50
Monday,04-11-2024,13:09.21,MATLAB,3.88,679068,1,Active,34
Monday,04-11-2024,20:23.40,Android Studio,2.97,364659,1,Active,22
Monday,04-11-2024,20:39.54,Visual Studio,0.72,161286,2,Inactive,19
Monday,04-11-2024,15:24.47,Opera,1.55,177543,2,Active,55
Monday,04-11-2024,20:00.56,Adobe Illustrator,2.08,682050,2,Inactive,31
Monday,04-11-2024,00:25.23,AutoCAD,0.62,490347,4,Inactive,16
Monday,04-11-2024,14:50.12,GitHub Desktop,3.08,241920,2,Inactive,29
Monday,04-11-2024,21:00.17,Notion,0.33,284416,2,Inactive,36
Monday,04-11-2024,19:15.07,Word,0.67,412016,1,Inactive,42
Monday,04-11-2024,14:36.56,Opera,4.52,634928,2,Active,49
Monday,04-11-2024,11:34.12,Eclipse,4.71,513767,2,Inactive,57
Monday,04-11-2024,09:00.22,Zoom,3.99,559164,1,Active,38
Monday,04-11-2024,10:11.28,Google Drive,2.2,438485,4,Inactive,20
Monday,04-11-2024,19:43.21,Android Studio,1.72,454852,1,Inactive,60
Monday,04-11-2024,23:23.00,Teams,3.44,567490,3,Active,46
Monday,04-11-2024,14:21.25,Adobe Photoshop,3.38,383460,2,Active,58
Monday,04-11-2024,11:20.07,Zoom,1.05,500815,2,Active,33
Monday,04-11-2024,08:11.42,YouTube,3.99,419418,2,Active,49
Monday,04-11-2024,16:31.09,Word,1.94,308908,1,Active,46
Monday,04-11-2024,23:47.27,Adobe Illustrator,2.3,672194,3,Active,25
Monday,04-11-2024,14:17.35,Jira,3.07,462333,2,Inactive,41
Monday,04-11-2024,12:07.58,OneNote,3.7,530122,1,Active,24
Monday,04-11-2024,13:59.20,Xcode,4.96,525777,1,Inactive,57
Monday,04-11-2024,14:55.54,Steam,4.45,262159,2,Active,18
Monday,04-11-2024,17:18.55,PowerPoint,1.91,645897,4,Inactive,29
Monday,04-11-2024,22:56.22,Adobe Illustrator,3.57,594550,1,Active,28
Monday,04-11-2024,23:08.02,GitHub Desktop,1.85,227571,4,Active,59
Monday,04-11-2024,08:06.22,Trello,2.51,577423,2,Active,49
Monday,04-11-2024,17:19.50,OBS Studio,2.36,386158,2,Inactive,55
Monday,04-11-2024,09:02.12,Jira,0.47,269739,1,Inactive,12
Monday,04-11-2024,11:20.39,Firefox,1.22,181465,4,Inactive,23
Monday,04-11-2024,22:53.08,Unity,2.76,327716,3,Active,49
Monday,04-11-2024,08:47.14,Visual Studio,1.67,479703,1,Active,13
Monday,04-11-2024,15:14.43,Eclipse,0.64,514105,1,Inactive,36
Monday,04-11-2024,15:59.11,Adobe Photoshop,1.63,237847,4,Inactive,10
Monday,04-11-2024,12:14.18,Microsoft Store,2.74,422084,2,Active,15
Monday,04-11-2024,23:15.48,Adobe Illustrator,3.41,608005,3,Active,55
Monday,04-11-2024,00:23.02,Xcode,2.81,456982,1,Inactive,26
Monday,04-11-2024,20:42.27,Trello,2.42,508157,2,Active,33
Monday,04-11-2024,18:48.43,Adobe Illustrator,2.97,178891,2,Active,13
Monday,04-11-2024,13:31.32,Firefox,2.48,339752,2,Inactive,40
Monday,04-11-2024,13:41.27,WhatsApp,2.6,293858,1,Inactive,19
Monday,04-11-2024,19:30.12,Discord,0.5,513603,2,Inactive,37
Monday,04-11-2024,13:09.07,Microsoft Store,2.69,456477,2,Active,42
Monday,04-11-2024,07:04.49,Blender,2.91,358152,1,Active,25
Monday,04-11-2024,22:36.20,Slack,2.03,128909,1,Active,28
Monday,04-11-2024,23:25.20,YouTube,4.71,541028,4,Inactive,31
Monday,04-11-2024,21:42.12,Opera,2.15,397998,2,Active,37
Monday,04-11-2024,22:32.29,Steam,2.78,530519,1,Active,12
Tuesday,05-11-2024,20:30.45,Postman,4.66,570172,2,Inactive,47
Tuesday,05-11-2024,18:41.46,GitHub Desktop,3.42,432804,4,Active,34
Tuesday,05-11-2024,15:07.27,AutoCAD,2.68,137867,2,Active,57
Tuesday,05-11-2024,20:23.52,Microsoft Store,0.74,468280,1,Active,41
Tuesday,05-11-2024,10:37.54,Discord,1.98,629495,2,Active,40
Tuesday,05-11-2024,13:13.24,Outlook,4.0,175716,2,Active,33
Tuesday,05-11-2024,00:09.35,YouTube,3.01,465736,4,Inactive,16
Tuesday,05-11-2024,23:34.08,Opera,0.55,519139,3,Inactive,47
Tuesday,05-11-2024,08:02.55,Adobe Illustrator,0.68,186501,1,Active,13
Tuesday,05-11-2024,13:05.51,Trello,3.04,333978,1,Inactive,13
Tuesday,05-11-2024,15:40.59,Telegram,4.64,159509,4,Inactive,26
Tuesday,05-11-2024,14:43.16,Visual Studio,4.47,185763,2,Active,50
Tuesday,05-11-2024,07:53.45,Excel,2.57,444770,2,Active,39
Tuesday,05-11-2024,12:39.28,Notion,0.33,204848,1,Inactive,30
Tuesday,05-11-2024,12:28.33,Eclipse,0.33,454683,1,Inactive,30
Tuesday,05-11-2024,00:34.24,Adobe Illustrator,2.79,444541,2,Active,52
Tuesday,05-11-2024,11:33.01,OBS Studio,3.37,554224,3,Inactive,16
Tuesday,05-11-2024,10:22.06,OneNote,0.66,266237,1,Active,13
Tuesday,05-11-2024,17:21.06,Postman,1.36,680387,4,Active,14
Tuesday,05-11-2024,10:41.40,Opera,1.5,310704,2,Inactive,24
Tuesday,05-11-2024,00:53.40,Chrome,2.67,190614,4,Active,41
Tuesday,05-11-2024,10:33.16,Postman,1.66,500236,2,Active,28
Tuesday,05-11-2024,22:10.16,Android Studio,2.81,285156,1,Active,24
Tuesday,05-11-2024,19:24.11,Trello,0.45,352706,1,Active,13
Tuesday,05-11-2024,21:24.40,PowerPoint,3.15,493259,1,Inactive,47
Tuesday,05-11-2024,00:45.35,IntelliJ IDEA,1.24,513081,2,Inactive,13
Tuesday,05-11-2024,00:37.39,VSCode,3.94,488216,1,Active,40
Tuesday,05-11-2024,12:45.31,Visual Studio,2.62,184309,1,Inactive,17
Tuesday,05-11-2024,11:32.44,OneNote,2.19,342137,1,Active,27
Tuesday,05-11-2024,00:18.44,Steam,1.0,551090,1,Active,46
Tuesday,05-11-2024,23:31.29,Postman,2.92,205382,3,Inactive,10
Tuesday,05-11-2024,17:35.48,VSCode,2.68,349213,4,Inactive,44
Tuesday,05-11-2024,09:30.34,OBS Studio,3.14,220315,1,Inactive,43
Tuesday,05-11-2024,11:12.43,Zoom,4.26,137780,1,Inactive,53
Tuesday,05-11-2024,18:51.45,GitHub Desktop,2.46,449602,4,Active,40
Tuesday,05-11-2024,08:28.36,Unity,0.78,295042,2,Active,10
Tuesday,05-11-2024,13:08.21,Netflix,4.84,255714,2,Inactive,21
Tuesday,05-11-2024,20:11.41,Teams,3.86,272937,2,Inactive,47
Tuesday,05-11-2024,11:01.05,PowerPoint,4.38,617462,1,Active,36
Tuesday,05-11-2024,14:08.46,Telegram,2.83,107790,1,Active,20
Tuesday,05-11-2024,11:35.26,Postman,4.88,442845,3,Inactive,17
Tuesday,05-11-2024,00:20.19,Zoom,1.54,660351,1,Inactive,54
Tuesday,05-11-2024,22:36.59,GitHub Desktop,4.1,212783,4,Active,19
Tuesday,05-11-2024,20:35.19,Spotify,2.23,565969,1,Inactive,22
Tuesday,05-11-2024,11:30.29,IntelliJ IDEA,1.29,666067,4,Active,25
Tuesday,05-11-2024,14:03.36,Outlook,4.17,440137,2,Active,21
Tuesday,05-11-2024,07:35.13,MATLAB,0.81,577576,2,Active,29
Tuesday,05-11-2024,15:38.11,Word,1.48,208371,3,Inactive,23
Tuesday,05-11-2024,14:44.54,Zoom,3.63,415694,1,Active,39
Tuesday,05-11-2024,16:23.48,Android Studio,4.51,450182,4,Inactive,46
Tuesday,05-11-2024,21:29.29,Blender,2.29,304314,2,Inactive,60
Tuesday,05-11-2024,08:57.13,Microsoft Store,4.76,544676,2,Inactive,57
Tuesday,05-11-2024,08:16.33,WhatsApp,3.09,466762,2,Inactive,22
Tuesday,05-11-2024,13:21.00,Google Drive,4.93,274347,1,Inactive,38
Tuesday,05-11-2024,11:15.57,Zoom,4.5,345898,3,Inactive,14
Tuesday,05-11-2024,23:05.07,Unity,0.73,196744,1,Active,23
Tuesday,05-11-2024,17:55.25,Google Drive,1.78,140730,1,Inactive,15
Tuesday,05-11-2024,23:54.31,PowerPoint,3.14,271769,4,Active,48
Tuesday,05-11-2024,07:52.21,Netflix,1.2,290365,2,Active,13
Tuesday,05-11-2024,23:50.31,AutoCAD,4.09,541250,4,Inactive,60
Tuesday,05-11-2024,07:07.24,Eclipse,2.73,346644,1,Active,31
Tuesday,05-11-2024,20:03.03,Spotify,4.4,343929,2,Inactive,52
Tuesday,05-11-2024,00:56.50,Firefox,4.66,583363,3,Inactive,18
Tuesday,05-11-2024,10:24.04,Postman,1.59,389341,3,Inactive,34
Tuesday,05-11-2024,22:00.22,Blender,3.31,455800,1,Inactive,28
Tuesday,05-11-2024,17:08.28,Adobe Illustrator,2.42,232334,3,Inactive,47
Tuesday,05-11-2024,14:32.32,MATLAB,3.13,449604,2,Active,18
Tuesday,05-11-2024,17:58.12,Blender,3.34,462656,4,Inactive,42
Tuesday,05-11-2024,17:42.29,Adobe Illustrator,4.86,406343,4,Active,41
Wednesday,06-11-2024,08:14.28,Excel,4.83,329074,1,Active,59
Wednesday,06-11-2024,15:02.41,Firefox,1.71,168889,4,Active,59
Wednesday,06-11-2024,07:31.05,GitHub Desktop,1.6,504226,1,Active,19
Wednesday,06-11-2024,17:42.56,Netflix,4.51,582899,3,Inactive,46
Wednesday,06-11-2024,23:18.07,Adobe Photoshop,4.41,232529,4,Active,32
Wednesday,06-11-2024,13:42.04,Netflix,2.54,449786,2,Inactive,24
Wednesday,06-11-2024,21:24.23,Spotify,1.95,293805,1,Active,56
Wednesday,06-11-2024,23:46.55,PowerPoint,3.76,639249,2,Active,30
Wednesday,06-11-2024,09:41.04,Jira,3.8,254692,2,Active,12
Wednesday,06-11-2024,21:52.19,Google Drive,2.09,221954,2,Active,21
Wednesday,06-11-2024,12:48.24,Slack,1.12,202756,2,Active,24
Wednesday,06-11-2024,17:35.44,Android Studio,2.6,179197,4,Active,56
Wednesday,06-11-2024,12:39.28,Google Drive,1.19,401225,1,Active,23
Wednesday,06-11-2024,15:29.58,GitHub Desktop,0.71,207525,4,Active,57
Wednesday,06-11-2024,13:16.12,Postman,0.32,545872,1,Inactive,25
Wednesday,06-11-2024,23:39.02,Teams,2.46,295566,2,Inactive,10
Wednesday,06-11-2024,23:18.53,Word,4.92,603151,2,Inactive,31
Wednesday,06-11-2024,00:42.39,OBS Studio,4.36,354409,1,Inactive,45
Wednesday,06-11-2024,08:24.17,Notion,4.94,144331,1,Active,57
Wednesday,06-11-2024,14:02.45,Telegram,2.02,150547,1,Inactive,41
Wednesday,06-11-2024,15:51.53,Microsoft Store,4.92,692310,2,Inactive,41
Wednesday,06-11-2024,13:51.36,Blender,3.07,687531,1,Active,34
Wednesday,06-11-2024,13:53.40,Adobe Photoshop,0.64,156493,2,Inactive,10
Wednesday,06-11-2024,09:24.30,Trello,1.09,515760,2,Active,21
Wednesday,06-11-2024,18:47.41,Teams,3.02,473611,2,Active,35
Wednesday,06-11-2024,10:38.03,Adobe Photoshop,3.09,573637,3,Inactive,57
Wednesday,06-11-2024,12:31.14,Zoom,1.51,341187,1,Inactive,47
Wednesday,06-11-2024,07:23.29,MATLAB,0.99,378581,1,Inactive,42
Wednesday,06-11-2024,00:08.35,Microsoft Store,3.84,465088,3,Active,57
Wednesday,06-11-2024,08:26.06,Blender,3.17,517542,1,Inactive,27
Wednesday,06-11-2024,17:10.35,OBS Studio,4.88,386709,3,Inactive,24
Wednesday,06-11-2024,08:08.42,Steam,2.67,540725,1,Active,50
Wednesday,06-11-2024,12:45.18,Figma,0.33,366608,2,Inactive,54
Wednesday,06-11-2024,15:42.50,Edge,1.29,259560,4,Inactive,38
Wednesday,06-11-2024,09:57.11,Excel,2.35,452318,1,Inactive,29
Wednesday,06-11-2024,19:09.06,Eclipse,2.48,125166,2,Active,20
Wednesday,06-11-2024,09:27.32,Excel,2.74,564610,2,Active,36
Wednesday,06-11-2024,19:24.09,Eclipse,3.47,446415,1,Inactive,37
Wednesday,06-11-2024,19:11.23,Teams,1.4,491665,1,Inactive,18
Wednesday,06-11-2024,11:06.28,OneNote,0.49,330536,2,Inactive,59
Wednesday,06-11-2024,10:40.04,GitHub Desktop,3.21,155117,4,Inactive,39
Wednesday,06-11-2024,16:14.52,Discord,1.94,176360,3,Active,59
Wednesday,06-11-2024,00:44.35,Blender,2.25,570571,4,Inactive,35
Wednesday,06-11-2024,14:21.52,Excel,2.88,119243,1,Inactive,50
Wednesday,06-11-2024,19:09.21,Xcode,2.7,554597,2,Active,48
Wednesday,06-11-2024,13:23.51,Unity,3.47,625147,1,Active,36
Wednesday,06-11-2024,00:41.26,AutoCAD,4.55,269480,3,Inactive,50
Wednesday,06-11-2024,18:38.29,Jira,1.57,688403,4,Inactive,45
